"Symbol","GSM648313_01_3328","GSM648314_01_cont_3879","GSM648315_02_3329","GSM648316_02_cont_1816","GSM648317_03_3330","GSM648318_1_03_cont_1490","GSM648319_04_3326","GSM648320_04_cont_3795","GSM648321_05_3327","GSM648322_05_cont_3871","GSM648323_06_3331","GSM648324_06_cont_2872","GSM648325_07_3332","GSM648326_07_cont_3825","GSM648327_08_3333","GSM648328_08_cont_1922","GSM648329_09_3616","GSM648330_09_cont_3876","GSM648331_10_3617","GSM648332_10_cont_2833","GSM648333_11_3612","GSM648334_11_cont_3872","GSM648363_12_3613","GSM648364_12_cont_3874","GSM648365_13_3618","GSM648366_13_cont_3868","GSM648367_14_3619","GSM648368_14_cont_1934","GSM648369_15_3620","GSM648370_15_cont_2859","GSM648371_16_3621","GSM648372_16_cont_1387","GSM648373_17_3622","GSM648374_17_cont_2834","GSM648375_18_3623","GSM648376_18_cont_3723","GSM648377_19_3624","GSM648378_19_cont_2800","GSM648379_20_3625","GSM648380_20_cont_1467","GSM648381_22_3829","GSM648382_22_cont_2836","GSM648383_23_3830","GSM648384_23_cont_1405","GSM648385_24_3831","GSM648386_24_cont_2871","GSM648387_25_3832","GSM648388_25_down21_3626","GSM648389_26_3833","GSM648390_26_cont_1415","GSM648391_27_3834","GSM648392_27_cont_1574","GSM648393_28_3835","GSM648394_28_cont_3335","GSM648395_29_3836","GSM648396_29_cont_3873","GSM648397_30_3837","GSM648398_30_cont_2689","GSM648399_31_3838","GSM648400_31_cont_3334","GSM648402_32_3839","GSM648404_32_cont_1416","GSM648406_33_3840","GSM648407_33_cont_1491","GSM648409_34_3841","GSM648410_34_cont_3869","GSM648412_35_3842","GSM648413_35_cont_3757","GSM648415_36_3843","GSM648416_36_cont_3759","GSM648417_37_3844","GSM648418_37_cont_2799","GSM648419_38_3863","GSM648421_38_cont_3877","GSM648422_39_3864","GSM648423_39_cont_2801","GSM648424_40_3865","GSM648432_40_cont_3749","GSM648433_41_3866","GSM648434_41_cont_3878","GSM648435_42_3867","GSM648436_42_cont_3875","GSM648438_1_45_3870","GSM648439_45_cont_3880"
"",2288.58287924821,2258.98734189797,2380.62115236338,2432.49612717529,2037.96218549966,2128.14289052702,2207.76815322763,2096.25751970893,2012.44826730591,2292.23763370876,1987.97060531924,2418.9814188075,2382.65462409177,2488.40950530985,2223.88517533231,2575.8037883951,1959.7670264168,1744.49362904824,1995.25410969609,2005.41067976361,2697.0868993291,2225.23049408869,2274.22332336786,2448.31447350962,2676.65453843084,3037.5009453307,1865.70434270828,2114.3648454607,1668.40388221131,1921.12843998531,2348.10099436639,2558.43195908616,2386.21755763051,2466.56877308515,2221.85969607108,2407.43132118786,1967.16388302935,2425.517750329,2331.17966226772,3006.01619870916,2016.5526161703,2399.11923846958,2126.16564610155,2196.02776302548,2110.85118547182,2185.71164004845,1706.52090756833,1855.25502118568,1449.44075910949,2525.97492794113,1858.46002839897,1946.06034498084,1862.85277240343,2185.83433465451,2248.23029894088,1922.5524819175,2271.55863611428,2545.83791785593,1981.37349400273,2170.63973647553,1811.74476988817,2484.12435525301,2098.98993115565,2223.70828283959,2442.70443946097,2302.12786650459,2613.37006624159,2632.78368287388,2410.27507647909,2262.52758034742,1842.38881448376,2076.67050658238,2175.75526383533,1985.12543797992,2342.35626225144,2146.74440936095,2161.34716121184,1971.77579839389,2333.20252585804,2633.78204285885,2148.81737970321,2344.25812567264,1997.39656665609,2166.08688909723
"ACVR1C",13.725,16.62905,20.96898,17.57462,3.944864,8.367423,6.001094,7.45769,8.289012,4.055389,9.645504,8.48496,11.39666,4.803396,5.705937,9.21839,6.231932,5.734872,3.237845,3.702166,6.946788,12.78868,9.480718,22.52297,3.460091,23.9324,3.571689,7.55594,7.127902,7.270218,4.998411,12.16649,2.802845,10.99179,2.842707,6.508103,3.440579,5.210208,9.175501,37.20943,2.305995,12.81449,2.497937,6.39286,3.768611,3.718396,3.90335,3.823194,6.429728,4.471602,2.452956,2.459766,2.294442,14.94962,7.917593,2.437001,7.297263,5.50099,9.889013,16.51662,2.427184,6.372025,7.589469,7.050449,30.45842,8.594346,2.693312,3.088898,4.570714,3.965631,2.62321,16.89234,8.770371,4.659183,2.62018,2.378676,11.4424,3.222707,81.53224,18.26635,3.649162,2.417831,3.546943,9.354641
"CACNG7",7.022184,4.575923,3.432155,3.368466,2.258308,1.93369,3.242395,2.745486,2.675087,3.284699,2.10831,2.506417,2.833746,3.118199,2.735864,2.952975,3.404035,3.239679,3.335017,3.684984,3.718645,2.520459,2.468525,2.771764,3.366644,2.928354,3.448553,2.623106,3.369461,4.544309,3.84524,3.938923,2.384095,2.239048,2.447868,2.411902,3.438878,4.469453,2.350307,2.688189,2.353554,2.896252,2.259369,2.074512,2.532155,3.372009,3.727799,2.659802,2.495674,2.90011,2.493106,2.455876,2.289971,2.593928,2.302411,2.26712,2.922255,9.278535,2.106316,2.000265,2.518764,3.16151,3.122873,3.47112,3.10743,2.849643,2.640248,3.008357,2.872882,2.985337,2.676813,2.541528,2.09908,2.043873,2.635221,2.38005,3.011245,3.191987,2.759459,2.462641,2.634039,2.420564,3.985551,2.002559
"CCAT1",3.305624,3.354388,3.852351,6.621081,2.646172,2.24908,3.692261,3.309854,3.305797,4.056235,2.43782,2.926175,3.600841,3.924756,3.480688,3.760033,4.078099,3.863487,3.904205,4.412825,4.551318,3.147858,2.816177,3.205946,4.342767,3.6774,4.256392,3.192625,4.124161,5.596357,4.686955,4.901381,2.83924,2.77687,3.027619,2.938323,7.545107,5.5398,2.789808,3.259501,2.724393,3.263661,2.641326,2.452525,3.107652,4.151998,4.493739,3.158084,3.002263,3.367046,2.956272,2.974789,2.681747,3.031396,2.773719,2.726577,3.69566,3.708035,2.52849,2.383393,3.054428,3.807771,3.608386,4.105699,3.88065,3.535535,3.243972,3.722644,3.697583,3.833719,3.321205,3.14758,2.548583,2.419919,3.316321,3.012728,3.618341,3.818743,3.254101,2.869435,3.240272,3.028633,2.296461,2.422215
"CCBE1",2.792346,2.788885,3.469106,3.412142,2.265678,1.933096,3.268385,2.805996,2.774149,3.419207,2.091232,2.488517,2.891599,3.183453,2.854325,3.143053,3.501247,3.292029,3.468483,3.933502,3.866115,2.601708,2.461325,2.798007,3.573728,3.03342,4.636255,3.075932,4.099562,4.662601,11.5483,4.041511,2.382173,2.296385,2.512097,2.451041,7.555781,4.69749,2.383368,2.717518,2.429335,3.147266,2.2661,2.092766,2.65152,3.452384,3.878156,8.183878,2.52074,2.875162,2.557964,3.637416,2.323825,2.678583,2.401151,2.324404,3.025429,3.058182,2.096756,2.019134,2.533026,3.22791,3.27149,3.500764,3.277102,3.210315,2.70267,3.060287,3.068361,3.251391,2.784529,2.60869,2.085997,2.028562,2.772734,4.200023,3.118412,27.13508,2.843194,2.487001,2.739267,2.511439,1.916517,2.009713
"CELF4",8.367361,3.629627,18.071,15.74432,17.09222,24.03915,10.14338,9.870274,6.097109,3.568966,13.12846,10.58376,8.524215,11.20295,6.682385,8.195289,5.372842,3.436938,5.405887,7.510976,5.092463,6.596098,13.34021,9.343039,3.94067,10.1543,3.767736,2.957554,3.829786,5.015825,4.184202,4.328084,10.95248,14.0944,9.082561,5.707439,9.20607,12.45928,9.916581,7.710949,24.50958,18.65877,21.61117,10.93666,5.084019,5.628725,4.137017,2.999318,3.514504,13.43128,2.653361,2.642401,10.10771,6.005768,2.525392,5.088345,6.402011,9.792152,10.44846,8.578968,4.583022,4.976862,5.44548,3.707593,5.304707,3.450177,9.612697,4.357863,7.67305,3.395856,4.266841,3.621607,12.9604,6.757283,3.022964,10.98357,3.347185,4.40669,21.65238,16.98723,4.898211,9.413264,12.38397,13.11192
"COLGALT2",3.372656,3.402579,3.960089,3.991272,2.732412,2.273958,3.684678,3.335165,3.373701,4.073549,3.085455,2.935131,3.515022,3.94223,3.496548,3.795295,4.14442,3.864288,3.849159,4.358631,4.516242,3.071883,2.832866,3.253403,4.306191,3.655431,4.229191,3.119924,4.129972,5.505679,4.625646,4.863028,2.777906,2.694807,3.008726,2.927401,4.330256,5.512351,2.716144,3.309809,2.7188,3.267013,2.546317,4.206809,8.325983,4.038516,4.507364,3.096268,2.830795,3.231307,2.946451,2.958152,2.768774,2.988007,2.727483,2.759676,4.512442,3.645134,2.532397,2.410668,2.934048,3.828906,3.651562,4.028094,3.990018,3.572265,3.17614,4.677744,3.662073,3.614449,3.328346,3.207863,2.51614,2.401896,3.31747,3.04338,3.655031,3.846314,3.250001,2.896233,3.274193,2.997403,2.227385,2.338909
"DNAJC18",29.18736,44.78349,37.3358,35.30723,17.30383,21.066,21.26157,29.01934,12.29345,33.16353,23.51274,39.83509,25.93333,30.40853,20.26806,33.85156,27.53238,15.55715,13.60092,21.44402,23.14577,20.50611,22.36897,36.83138,25.34718,29.59945,8.332969,26.90554,6.584855,15.66196,29.53464,145.7029,33.48768,44.86619,26.00069,30.81096,17.76562,37.05881,23.96133,38.31424,19.60576,47.20594,22.50665,18.85585,26.58916,31.95668,6.746124,18.08696,15.07295,32.86306,9.418391,19.21264,11.60566,40.43549,18.16769,16.14435,24.05143,29.10732,16.14619,44.44618,7.882012,26.01701,22.66869,19.06305,31.58187,31.4752,31.3096,38.57058,30.8986,18.67298,14.27594,37.82852,22.23953,20.68503,28.0983,13.03287,26.88276,23.85933,197.751,42.65522,15.74752,21.06333,18.3878,21.15175
"FAM133CP",133.8811,154.6318,175.2512,145.9613,113.937,117.8635,178.998,134.6101,82.32219,179.0192,117.5673,204.4019,177.7222,133.7801,154.3775,177.2533,94.65251,97.58114,79.6941,139.1524,124.3893,172.3783,110.4718,176.0686,178.5604,250.0531,76.10667,100.3416,17.93968,129.3775,90.92422,168.5938,148.4156,295.9861,69.57989,186.0996,77.3223,162.8804,138.3581,319.5746,86.91248,138.4738,110.8921,181.8484,135.8357,151.5628,85.24996,90.03808,128.6014,180.0564,71.16128,69.49167,100.4546,224.5183,142.0636,69.73756,131.8124,170.4892,86.60452,239.5561,66.89797,177.4468,168.212,129.053,204.9629,155.8837,99.61859,262.0972,130.7278,111.8875,76.61891,161.1617,146.4275,139.578,49.71607,103.1646,102.7174,136.7609,192.8243,286.6167,111.7026,172.5208,158.4029,162.3808
"FAM166B",6.368495,4.382929,13.78378,12.1534,4.844183,5.676499,9.304728,9.044492,3.247353,8.007447,6.027006,8.218996,4.008605,3.846976,7.087381,4.301731,4.134049,6.677168,4.2909,5.444319,5.994101,3.069457,3.55546,10.69957,4.195075,6.37647,4.224212,3.274712,4.402343,5.606822,6.063934,12.09451,4.848719,2.73853,6.032532,2.883552,4.304606,5.437149,3.511925,7.702258,7.971564,9.058471,2.644515,6.762069,4.908916,4.052491,10.46265,3.282988,4.482284,14.78379,2.881702,4.521276,4.196707,10.51469,2.829788,2.786747,5.489153,4.493838,2.540009,2.557259,9.132554,4.898937,8.870818,4.586191,5.92891,18.84409,5.250908,6.165482,13.79847,3.52419,4.237875,5.61693,4.531973,2.501346,7.219788,10.70461,3.752778,3.948756,6.442281,10.69848,15.51112,30.35057,5.791131,6.227794
"FAM229B",2.842871,2.698267,3.892795,3.40574,2.282493,1.872426,3.211102,2.937364,2.607252,3.243045,2.038904,2.495964,2.778388,3.063693,2.687916,2.908011,3.364374,3.241978,3.190929,9.825097,3.690414,2.473659,2.440666,2.753569,6.985363,2.815297,3.506593,2.6124,3.374153,4.625565,3.760381,3.92588,2.352002,2.196099,2.383943,2.374274,3.357597,4.491408,2.300423,2.772673,3.318857,4.111005,2.185268,2.028947,2.374904,3.219836,3.840822,2.615609,2.513437,2.850857,2.427323,2.421497,2.265628,6.15267,2.194242,2.196026,2.89594,2.990396,4.330019,3.118309,2.381217,3.053587,3.012389,4.435184,3.06504,2.758999,2.619075,3.007713,2.788516,2.793865,2.569528,2.47511,2.085956,2.0274,2.575192,3.113032,3.052306,3.196289,2.650592,2.428501,2.653999,2.369738,1.859338,2.126675
"GINS3",35.8806,33.90186,33.20798,40.27464,17.85897,29.75655,29.59707,30.95764,16.61409,30.34204,19.49372,28.17179,26.27944,31.71339,16.93878,28.5656,18.48519,16.09512,11.91636,19.44503,29.69817,25.17363,26.66151,31.50004,22.33746,66.20763,9.490093,23.67827,10.61967,12.22797,24.27908,15.51032,30.84165,48.30958,20.66907,41.37412,23.93109,24.74037,27.08755,56.08179,23.27541,33.57162,20.25163,28.72583,28.61558,24.15847,10.39462,14.23734,23.41409,36.03211,10.46274,13.57071,26.15411,37.29365,28.92895,24.19536,24.77895,24.78584,21.3638,28.14572,20.32597,35.91952,12.92042,30.76909,35.45258,22.88478,33.27218,45.02694,22.36459,26.15467,17.86532,26.37297,16.01369,25.06489,20.4245,24.16563,22.39564,23.13768,35.64134,35.69086,29.60632,26.27256,22.91532,23.80928
"GUCY2GP",33.37593,10.42766,42.03224,31.15747,55.10528,147.2627,27.34528,11.57568,66.61275,9.666372,50.90704,33.24464,46.18388,50.00074,63.85053,19.49246,32.70167,11.48351,14.51357,40.20428,53.9676,17.25062,37.76948,11.22716,29.84248,13.11328,31.9936,7.646596,21.65409,11.6877,41.07985,15.5308,37.13514,21.30156,106.4172,13.95767,56.27298,110.9082,35.43217,14.02611,72.97532,54.13327,72.12575,26.30723,16.66019,17.8391,11.60309,27.36038,8.386002,27.31178,33.49685,16.01848,60.34025,29.86795,20.1274,68.65779,34.87714,58.80404,33.95583,23.17756,19.44894,18.18274,9.156515,20.86996,3.503142,14.00938,34.40515,9.437955,77.1278,39.71063,35.84404,14.26605,44.26916,17.2739,10.59698,64.58595,7.88002,5.297596,31.69555,26.09358,40.27419,22.1441,27.099,27.84655
"GUSBP10",18.9227,18.31845,13.21741,14.18369,13.95017,8.206048,14.59851,8.505162,11.36472,19.83636,19.08175,18.51047,16.19474,22.30385,34.2793,24.06661,12.432,11.98963,14.60747,9.461007,10.35773,8.233682,12.69729,20.03504,9.590043,21.7796,11.06018,12.72677,5.915144,23.44006,12.95551,6.071715,23.54584,26.89213,6.619404,18.36952,6.146462,16.37413,21.51254,23.33006,3.017724,15.06855,10.89915,9.671523,19.46575,19.24489,16.17275,5.826358,12.42538,24.12114,7.858606,5.058157,4.546276,17.9533,11.75532,3.450292,15.65494,13.53013,12.8747,31.89927,7.702489,6.619836,26.4516,4.540206,26.2669,15.28612,16.68353,17.85153,13.68586,19.62838,16.14747,21.22359,10.12441,13.21495,10.66481,18.67347,24.81165,20.0466,22.25253,21.75526,8.775602,10.71732,10.74644,16.05342
"HBB",627.8322,569.355,610.0742,541.4713,571.5719,343.9792,557.4421,665.0213,419.5862,612.4055,636.0668,595.5718,620.5127,696.0453,552.6339,558.2708,723.5457,564.5818,631.2047,484.6534,742.011,781.1845,617.6355,619.4201,773.2885,589.926,544.6386,470.4768,683.0417,411.4425,750.927,1290.309,763.1185,514.7146,735.1726,627.4499,757.7017,564.4523,730.274,602.1395,509.8478,521.2539,812.4415,1236.255,584.2596,525.3518,578.6769,619.2198,630.8664,618.7298,645.4521,606.8741,482.1764,469.0032,549.7653,578.6237,689.8279,663.1184,622.9582,556.7039,544.9129,677.2333,691.3796,633.9211,651.9047,638.0488,797.328,718.7287,587.0584,612.8512,586.7189,545.5824,662.2741,643.3865,792.3784,476.0351,634.8532,654.0554,760.0166,635.9619,654.1103,612.6532,561.4384,556.0228
"HCG25",51.5966,57.06403,87.55083,69.0155,103.4968,436.4748,51.87235,59.48298,66.87529,96.51385,177.9347,260.6829,278.7183,255.2693,550.7442,233.929,122.4909,78.3085,172.9048,95.84855,355.5718,143.2256,92.89414,63.52602,493.7285,135.0943,119.6247,130.2707,31.71706,132.7503,236.3449,111.4381,149.1624,137.2537,158.4741,82.71534,82.54076,114.8146,137.2649,125.1641,205.2816,171.1622,212.9245,227.949,162.4935,144.472,87.35472,171.8025,57.86051,155.7635,300.5332,189.0846,60.20046,50.99812,147.6224,76.65291,68.86349,333.9455,192.8452,137.484,78.62348,98.91398,198.1735,166.9543,44.8322,123.3975,270.5801,119.4092,336.3093,421.5522,155.0398,81.35172,242.6862,85.27987,143.114,75.14121,275.9744,148.4167,94.51544,70.57206,36.85718,81.7622,152.6124,157.3916
"IDH1-AS1",30.34592,23.54395,24.7492,34.23503,18.87829,10.45352,17.6845,23.84918,9.531373,23.56859,27.36431,20.02552,11.18611,19.18425,10.26433,16.7573,13.52308,6.019823,6.962909,7.073083,16.49456,28.37449,16.01714,22.77826,14.49224,31.91993,14.1433,15.92282,6.299814,5.831734,27.3314,15.14253,34.75436,163.0612,18.97175,32.30466,11.59446,23.43482,27.59409,46.98912,7.833525,23.88319,13.86125,22.0136,10.63939,12.70988,5.689379,14.0329,20.35142,20.983,7.213657,13.9514,15.13485,31.79201,15.9763,19.09423,22.97234,20.96655,9.272884,24.222,14.70301,17.31363,25.45191,22.1548,35.59645,15.84197,20.12319,19.95658,11.15883,16.32185,14.00061,24.1706,13.08696,10.56684,18.77355,14.08645,18.43181,15.68187,40.35367,34.68822,11.47067,28.56361,29.38383,17.29973
"ITGA2",10.88094,18.15885,15.93063,10.31317,2.786639,9.725481,3.77485,13.4497,6.825653,10.32929,9.284768,10.96931,14.60203,17.7975,10.1476,15.22366,13.47247,9.110045,11.37439,14.70891,13.62398,2.930395,8.704084,8.295793,26.1934,18.72454,6.834111,6.117044,13.00448,47.89977,4.925247,9.114389,10.22428,17.44227,3.996227,4.148004,4.037616,12.24042,11.56102,10.33828,2.679584,5.124286,9.095773,4.812869,3.485323,15.24368,14.2913,9.333074,2.728789,13.38937,6.343972,5.222637,12.88446,34.62289,22.254,4.148148,12.47037,4.706761,8.307328,12.12336,2.867029,6.994187,11.17887,5.38061,10.90999,5.045357,10.18414,16.08,4.477688,7.51067,21.89177,20.86411,12.774,5.757955,11.22706,3.404319,5.264145,13.81571,14.46889,2.807875,3.211591,7.330186,6.753911,6.195595
"KBTBD12",2.969307,2.830747,3.522836,3.538673,2.440485,5.964095,3.307778,2.898329,2.756059,3.385799,2.758601,2.571715,2.878189,3.167413,4.651668,3.048633,3.485954,3.348747,3.328292,3.82216,3.841543,2.552461,2.511652,2.85345,14.27403,3.69003,3.603763,2.740056,3.483318,4.786715,3.877803,4.049505,2.402777,2.277825,2.445557,2.442744,3.503533,4.668046,2.375682,3.302036,2.405538,2.975074,2.226908,3.127028,2.462925,3.32217,4.113849,2.738353,2.560209,2.917096,2.528609,2.498281,10.8659,2.833134,2.28966,2.256905,2.985554,3.074765,2.170103,2.074133,2.914115,3.177189,3.12713,3.599953,3.231465,2.88586,2.713118,3.076925,2.918248,2.979087,2.689167,2.569395,2.13914,2.079302,2.70959,2.439368,3.175519,3.31829,2.74877,2.513277,2.759962,2.46982,5.450221,2.505406
